OBJECTID,COMPKEY,COMPTYPE,UNITID,DESCRIPTION,UNITDESC,SEGKEY,INTKEY,INT_UNITID,SIGNAL_TYPE,SIGNAL_MAINT_DIST,INSTALL_DATE,ADDDTTM,MODDTTM,OWNERSHIP,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,CURRENT_STATUS_DATE,ARTERIAL_CLASS,MAINT_AGREE,MAINT_BY,INT_SIGNAL_TYPE_CD,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,PEDAUDIODEVICEYN,PEDSIGNALYN,PH_MODELTYPE,PP_MODELTYPE,PP_QUANTITY,PEDHDFIRSTINSTALLDT,PH_QUANTITY,PEDAUDIOINSTALLDT,BIKESIGNALHDYN,ASBLT,HALFSIGNALYN,METEREDYN,LTTURNSIGNALYN,LTPROTECTEDPERMYN,LTPROTECTEDYN,RTTURNSIGNALYN,RTPROTECTEDPERMYN,RTPROTECTEDYN,LTFIRSTINSTALLDT,LTREMOVEDT,RTFIRSTINSTALLDT,RTREMOVEDT,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,CABMODELTYPECD,COMCONNTYPECD,MMUMODELTYPECD,PE_MODELTYPE,PI_MODELTYPE,INSTALLERCD,JOINTOWNERSHIPYN,CO_MODELTYPE,MMUMANCD,MMUINSTALLDT,LASTSIGNALOPTDT,PEDPSHINSTALLDT,NUM_ATTACHMENTS
141,272901,74,SGL-609,0,4TH AVE S AND EAST MARGINAL WAY S                                                                                                                                                                                                                              ,1,34236,71651,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:53+00,2020/04/21 00:00:00+00,SDOT,POOR,2008/05/22 00:00:00+00,INSVC,2009/09/16 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,"NEON, LED",STD,6,1970/01/01 00:00:00+00,"14, 2",1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,Y,Y,6TS2,COPPER,MMU2-16LEi,,, ,N,"M52, LC8000, M34, M52",EDI,2020/03/17 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,2
142,272902,74,SGL-72,0,3RD AVE AND PIKE ST                                                                                                                                                                                                                                            ,1,29587,39313,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:53+00,2020/07/23 00:00:00+00,SDOT,FAIR,2008/09/02 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,"LED, LEDCD",,,1970/01/01 00:00:00+00,"8, 8",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,FIBER,LT216E,,, ,Y,"M34, M60",EAGLE,2020/07/16 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
143,272903,74,SGL-200,0,9TH AVE N AND ROY ST                                                                                                                                                                                                                                           ,1,28743,35136,SEMI,CENTRAL,1970/01/01 00:00:00+00,2005/03/17 17:11:53+00,2020/04/27 00:00:00+00,SDOT,POOR,2008/09/18 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,"NEON, INCAND",STD,8,1970/01/01 00:00:00+00,"8, 4",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,Y,3TS2,FIBER,MMU-16LEip,,, ,Y,"M34,  , M34, M60",EDI,2020/04/23 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
144,272904,74,SGL-118,0,9TH AVE AND HOWELL ST                                                                                                                                                                                                                                          ,1,29868,40523,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:53+00,2020/02/27 00:00:00+00,SDOT,FAIR,2008/09/15 00:00:00+00,INSVC,2011/05/16 00:00:00+00,1,,SDOT,CITY,DISTRICT7, ,N,N,LEDCD,NAV-2W-PPB,2,1970/01/01 00:00:00+00,20,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,6TS2,COPPER,MMU2-16LEi,EMER,, ,N,"M52, M34, M52",EDI,2020/02/24 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
145,272905,74,SGL-893,0,15TH AVE NE AND NE 143RD ST                                                                                                                                                                                                                                    ,1,35855,220105,SEMI,NORTH,1996/02/29 00:00:00+00,2005/03/17 17:11:54+00,2019/02/15 00:00:00+00,SDOT,POOR,2008/05/02 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT5, ,N,N,NEON,STD,4,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LT216E,,, ,N,M52,TCT,2019/02/12 00:00:00+00,1970/01/01 00:00:00+00,1996/02/29 00:00:00+00,0
146,272906,74,SGL-241,0,24TH AVE NW AND NW 80TH ST                                                                                                                                                                                                                                     ,1,23872,2113,PRE,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:54+00,2019/02/28 00:00:00+00,SDOT,POOR,2008/03/06 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,LEDCD,,,2014/07/18 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,NSM-6,,, ,Y,LC8000,EAGLE,2019/02/21 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
147,272907,74,SGL-533,0,15TH AVE S AND S OREGON ST                                                                                                                                                                                                                                     ,1,32310,57338,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:54+00,2020/06/03 00:00:00+00,SDOT,FAIR,2013/10/28 00:00:00+00,INSVC,2013/10/28 00:00:00+00,2,, ,CITY,DISTRICT2, ,N,N,LEDCD,,,2013/10/25 00:00:00+00,10,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,LT216E,,, ,Y,"LC8000, LMD8000, LMD8000",EAGLE,2020/06/03 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
148,272908,74,SGL-1030,0,7TH AVE AND JAMES ST                                                                                                                                                                                                                                           ,1,29962,40760,FULL,DOWNTOWN,2009/02/07 00:00:00+00,2005/03/17 17:11:54+00,2020/02/18 00:00:00+00,SDOT, ,1970/01/01 00:00:00+00,INSVC,2009/07/23 00:00:00+00,1,,SDOT,STATE,DISTRICT3, ,N,N,,STD,4,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,MMU-16LEip,EMER,, ,N,M52,EDI,2020/02/13 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
149,272910,74,SGL-425,0,28TH AVE E AND E MADISON ST                                                                                                                                                                                                                                    ,1,29253,37318,SEMI,CENTRAL,1970/01/01 00:00:00+00,2005/03/17 17:11:54+00,2020/01/15 00:00:00+00,SDOT,POOR,2008/04/21 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT3, ,Y,N,LEDCD,STD,4,2015/02/11 00:00:00+00,10,2013/01/16 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,,, ,Y,M34,TCT,2020/01/15 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
150,272911,74,SGL-657,0,DELRIDGE WAY SW AND SW THISTLE ST                                                                                                                                                                                                                              ,1,34843,76111,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:55+00,2020/01/23 00:00:00+00,SDOT,POOR,2008/04/25 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT1, ,N,N,NEON,STD,4,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6L,,, ,Y,"LMD9200, LMD9200",EDI,2020/01/22 00:00:00+00,1970/01/01 00:00:00+00,2000/01/11 00:00:00+00,0
151,272912,74,SGL-707,0,20TH AVE W AND W DRAVUS ST                                                                                                                                                                                                                                     ,1,26472,20321,SEMI,CENTRAL,1991/04/02 00:00:00+00,2005/03/17 17:11:55+00,2019/03/06 00:00:00+00,SDOT,POOR,2008/07/17 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,NEON,STD,8,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,7TS2-Typ1, ,MMU-16LEip,,, ,N,"LC8000, M52, M60, M60",EDI,2019/03/01 00:00:00+00,1970/01/01 00:00:00+00,1991/04/02 00:00:00+00,0
152,272913,74,SGL-42,0,2ND AVE AND CHERRY ST                                                                                                                                                                                                                                          ,1,30355,43114,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:55+00,2020/04/06 00:00:00+00,SDOT,FAIR,2008/08/28 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,"LED, NEON",,,1970/01/01 00:00:00+00,"8, 8",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,,, ,N,"M34, M34",EDI,2020/04/05 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
153,272914,74,SGL-839,0,EASTLAKE AVE E AND E GARFIELD ST                                                                                                                                                                                                                               ,1,28332,30722,SEMI,CENTRAL,1992/09/24 00:00:00+00,2005/03/17 17:11:55+00,2020/03/27 00:00:00+00,SDOT,POOR,2008/08/11 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT4, ,N,N,"NEON, INCAND",BULLDOG,2,1970/01/01 00:00:00+00,"9, 7",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,LSM6,,, ,Y,"LMD9200, LMD8000, LMD9200",TCT,2020/03/16 00:00:00+00,1970/01/01 00:00:00+00,1992/09/24 00:00:00+00,0
154,272915,74,SGL-865,0,RAINIER AVE S AND S MASSACHUSETTS ST                                                                                                                                                                                                                           ,1,31517,52504,SEMI,SOUTH,1994/02/16 00:00:00+00,2005/03/17 17:11:56+00,2019/08/06 00:00:00+00,SDOT,POOR,2008/08/05 00:00:00+00,INSVC,2009/09/10 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,"NEON, LED",TACTILE,4,1970/01/01 00:00:00+00,"13, 3",1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,FIBER,NSM-12,,, ,N,"M52, M52",EDI,2019/07/31 00:00:00+00,1970/01/01 00:00:00+00,2010/10/11 00:00:00+00,0
155,272916,74,SGL-768,0,39TH AVE S AND S OTHELLO ST                                                                                                                                                                                                                                    ,1,34564,73715,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:56+00,2020/06/16 00:00:00+00,SDOT,POOR,2008/05/19 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,"NEON, LED",NAV-4W-PPB,8,1970/01/01 00:00:00+00,"14, 2",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,WIRELESS,LT216E,,, ,N,"LMD8000, M52",EAGLE,2020/06/15 00:00:00+00,1970/01/01 00:00:00+00,2006/03/31 00:00:00+00,0
156,272917,74,SGL-797,0,8TH AVE NE AND NE NORTHGATE WAY                                                                                                                                                                                                                                ,1,36500,226333,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:56+00,2019/03/14 00:00:00+00,SDOT,FAIR,2008/07/23 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,HALFPED,DISTRICT5, ,N,Y,"LED, LEDCD",TACTILE,2,1970/01/01 00:00:00+00,"2, 2",1970/01/01 00:00:00+00,N,,Y,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,FIBER,MMU-16LEip,EMER,, ,N,M52,EDI,2019/03/13 00:00:00+00,1970/01/01 00:00:00+00,2008/02/20 00:00:00+00,0
157,272918,74,SGL-591,0,4TH AVE S AND S HOLGATE ST                                                                                                                                                                                                                                     ,1,31348,51510,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:56+00,2020/06/29 00:00:00+00,SDOT,FAIR,2008/08/20 00:00:00+00,INSVC,2011/07/15 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,LEDCD,NAV-4W-PPB,4,2011/07/15 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,Y,Y,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,Y,Y,3TS1,COPPER,MMU2-16LEi,,, ,N,"M52, M52, M52, M52",EDI,2020/06/29 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,2
158,272919,74,SGL-883,0,DELRIDGE WAY SW BETWEEN 22ND AVE SW AND SW WILLOW ST                                                                                                                                                                                                           ,9973,1, ,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:56+00,2020/01/28 00:00:00+00,SDOT,POOR,2008/08/13 00:00:00+00,INSVC,2008/12/15 00:00:00+00,,, , ,DISTRICT1, ,N,Y,NEON,STD,2,1970/01/01 00:00:00+00,4,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,EMER,, ,N,LMD9200,EAGLE,2020/01/23 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1
159,272920,74,SGL-885,0,FAUNTLEROY WAY SW AND SW EDMUNDS ST                                                                                                                                                                                                                            ,1,32764,61105,SEMI,SOUTH,1995/04/20 00:00:00+00,2005/03/17 17:11:56+00,2020/01/30 00:00:00+00,SDOT,POOR,2008/09/03 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT1, ,N,N,NEON,STD,4,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,COPPER,NSM-6,,, ,Y,"LMD8000, M52, ATC-1000",EDI,2020/01/28 00:00:00+00,1970/01/01 00:00:00+00,1995/04/20 00:00:00+00,0
160,272921,74,SGL-608,0,6TH AVE S AND S MICHIGAN ST                                                                                                                                                                                                                                    ,1,34217,71502,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:57+00,2020/04/01 00:00:00+00,SDOT,POOR,2008/05/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,LEDCD,NAV-4W-PPB,8,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,MMU2-16LEi,,, ,N,"M34, M34",TCT,2020/03/11 00:00:00+00,1970/01/01 00:00:00+00,1998/06/18 00:00:00+00,0
161,272922,74,SGL-61,0,1ST AVE AND SENECA ST                                                                                                                                                                                                                                          ,1,29611,39348,PRE,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:57+00,2020/06/17 00:00:00+00,SDOT,FAIR,2008/08/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,,,1970/01/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,EMER,, ,Y,"M34, M52",EDI,2020/06/16 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
162,272923,74,SGL-808,0,15TH AVE W AND GILMAN UPPER DR W                                                                                                                                                                                                                               ,1,27900,28554,SEMI,CENTRAL,1970/01/01 00:00:00+00,2005/03/17 17:11:57+00,2019/12/17 00:00:00+00,SDOT,FAIR,2008/07/07 00:00:00+00,INSVC,2011/03/14 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,LEDCD,STD,2,2011/03/14 00:00:00+00,6,1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,6TS2,FIBER,MMU2-16LEi,,, ,N,"M52, M60",EDI,2019/05/20 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
163,272924,74,SGL-790,0,42ND AVE SW AND SW OREGON ST                                                                                                                                                                                                                                   ,1,31905,54333,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:57+00,2020/02/18 00:00:00+00,SDOT,GOOD,2014/05/30 00:00:00+00,INSVC,2014/05/30 00:00:00+00,2,, ,CITY,DISTRICT1, ,N,N,LEDCD,STD,4,2014/05/01 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LT216E,,, ,Y,"M52, LMD8000",EAGLE,2020/02/10 00:00:00+00,1970/01/01 00:00:00+00,1994/11/03 00:00:00+00,0
164,272925,74,SGL-715,0,BOREN AVE AND UNIVERSITY ST                                                                                                                                                                                                                                    ,1,29898,40554,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:57+00,2020/02/18 00:00:00+00,SDOT,POOR,2008/09/17 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7,DISTRICT3,N,N,"NEON, LED",STD,4,1970/01/01 00:00:00+00,"15, 1",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,LSM6,EMER,, ,N,"M34,  ,  ",EAGLE,2020/02/11 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
165,272926,74,SGL-398,0,19TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                     ,1,26078,15752,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:57+00,2019/03/26 00:00:00+00,SDOT,POOR,2008/05/13 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT4, ,N,N,"NEON, LED",,,1970/01/01 00:00:00+00,"4, 2",1970/01/01 00:00:00+00,N,,N,N,Y,Y,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,,, ,N,LMD9200,TCT,2019/03/25 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
166,272928,74,SGL-958,0,20TH AVE AND E MADISON ST                                                                                                                                                                                                                                      ,1,30114,41503,SEMI,CENTRAL,2002/04/30 00:00:00+00,2005/03/17 17:11:58+00,2020/01/15 00:00:00+00,SDOT,POOR,2008/04/09 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT3, ,N,N,NEON,STD,4,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,N,N,2, ,LSM6,,, ,Y,M34,EAGLE,2020/01/15 00:00:00+00,1970/01/01 00:00:00+00,2002/04/30 00:00:00+00,0
167,272929,74,SGL-288,0,8TH AVE NW AND NW 65TH ST                                                                                                                                                                                                                                      ,1,24214,3766,SEMI,NORTH,1970/01/01 00:00:00+00,2005/03/17 17:11:58+00,2019/03/15 00:00:00+00,SDOT,POOR,2008/07/08 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,"NEON, LED",STD,4,1970/01/01 00:00:00+00,"15, 1",1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,2002/01/16 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,NSM-6,,, ,N,LC8000,EDI,2019/03/08 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
168,272931,74,SGL-535,0,15TH AVE S AND S LUCILE ST                                                                                                                                                                                                                                     ,1,33362,65712,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:58+00,2020/06/02 00:00:00+00,SDOT,FAIR,2014/04/29 00:00:00+00,INSVC,2014/04/29 00:00:00+00,2,, ,CITY,DISTRICT2, ,N,N,LEDCD,STD,8,2014/04/28 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Y,N,N,2, ,LT216E,,, ,Y,LC8000,EDI,2020/06/01 00:00:00+00,1970/01/01 00:00:00+00,2000/06/23 00:00:00+00,1
169,272932,74,SGL-605,0,EAST MARGINAL WAY S AND S MICHIGAN ST                                                                                                                                                                                                                          ,1,34222,71509,SEMI,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:58+00,2020/04/01 00:00:00+00,SDOT,POOR,2008/09/05 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT2, ,N,N,NEON,NAV-4W-PPB,6,1970/01/01 00:00:00+00,12,1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,Y,Y,3TS2,FIBER,MMU-16LEip,,, ,N,"M34, M52, M60",EDI,2020/03/12 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,3
170,272933,74,SGL-165,0,BOREALIS AVE AND DENNY WAY                                                                                                                                                                                                                                     ,1,29517,39114,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:58+00,2019/10/17 00:00:00+00,SDOT,POOR,2008/09/16 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT7, ,N,N,NEON,STD,4,1970/01/01 00:00:00+00,16,1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,NSM-6,EMER,, ,N,"M34,  , M34",EDI,2019/10/06 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,9
171,272935,74,SGL-627,0,CHELAN AVE SW AND SW SPOKANE SR ST                                                                                                                                                                                                                             ,1,32010,55105,FULL,SOUTH,1970/01/01 00:00:00+00,2005/03/17 17:11:59+00,2020/04/01 00:00:00+00,SDOT,POOR,2008/09/10 00:00:00+00,INSVC,2008/12/15 00:00:00+00,1,, ,CITY,DISTRICT1, ,N,N,"NEON, LED","STD, NONSTD","3, 11",1970/01/01 00:00:00+00,"25, 3",1970/01/01 00:00:00+00,N,,N,N,Y,N,Y,Y,N,Y,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,3TS1,COPPER,NSM-12,EMER,, ,N,"LMD9200, LMD8000, M60-ATC",EDI,2020/03/13 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1
172,272936,74,SGL-7,0,1ST AVE S AND S WASHINGTON ST                                                                                                                                                                                                                                  ,1,30362,43126,SEMI,DOWNTOWN,1970/01/01 00:00:00+00,2005/03/17 17:11:59+00,2019/09/26 00:00:00+00,SDOT,FAIR,2008/08/15 00:00:00+00,INSVC,2008/12/15 00:00:00+00,2,, ,CITY,DISTRICT7, ,N,N,LEDCD,,,2012/10/08 00:00:00+00,8,1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2,COPPER,MMU-16LEip,EMER,, ,N,"M34, M52",EDI,2019/08/20 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
173,272937,74,SGL-806,0,24TH AVE NW AND NW 57TH ST                                                                                                                                                                                                                                     ,1,25142,11135,SEMI,NORTH,1988/10/11 00:00:00+00,2005/03/17 17:11:59+00,2019/02/28 00:00:00+00,SDOT,POOR,2008/07/16 00:00:00+00,INSVC,2009/03/12 00:00:00+00,2,, ,CITY,DISTRICT6, ,N,N,"NEON, LED",NAV-2W-PPB,2,1970/01/01 00:00:00+00,"13, 3",1970/01/01 00:00:00+00,N,,N,N,N,N,N,N,N,N,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,N,N,N,2, ,LSM6,,, ,N,"LC8000, LC8000, M34",EAGLE,2019/02/25 00:00:00+00,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,0
