X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,OWNERSHIP,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,CURRENT_STATUS_DATE,INSTALL_DATE,INSTALL_PURPOSE,INTKEY,LANDSCAPING,MAINTAINED_BY,MAINTENANCE_AGREEMENT,NO_LAND_REASON,OVERRIDECOMMENT,OVERRIDEYN,OWNERSHIP_DATE,SDOT_INITIATED,SEWER_ACCESS_COVER,TRCSIZE,SURVEY_MONUMENT,TRCSHAPE,UNITTYPE,SHAPE_LNG,SHAPE_LAT
1260506.55991155,197157.582845941,818,509657,TRC-519,30TH AVE SW AND SW ELMGROVE ST                                                                                                                                                                                                                                 ,GOOD,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1998/04/29 00:00:00+00, ,34918,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.371240302424,47.5300908921847
1264025.13719516,200385.605569243,819,509498,TRC-280,18TH AVE SW AND SW MYRTLE ST                                                                                                                                                                                                                                   ,FAIR,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1998/03/18 00:00:00+00, ,33957,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.357259285883,47.5391306195672
1267025.41732623,264840.088899255,820,509494,TRC-938,FREMONT AVE N AND N 120TH ST                                                                                                                                                                                                                                   ,GOOD,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,2005/05/31 00:00:00+00, ,36375,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.35025823165,47.7159597850758
1263782.83127491,234830.528164521,821,509757,TRC-627,3RD AVE W AND W GARFIELD ST                                                                                                                                                                                                                                    ,GOOD,2009/07/06 00:00:00+00,INSVC,SDOT,DISTRICT7, ,16,2009/10/14 00:00:00+00,1983/07/21 00:00:00+00, ,27852,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.361008142166,47.6335293198556
1279619.90258713,222605.118231997,822,508947,TRC-480,28TH AVE S AND S WASHINGTON ST                                                                                                                                                                                                                                 ,GOOD,2009/06/18 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1994/03/31 00:00:00+00, ,30589,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.295844508,47.6008632565671
1256674.27005163,213193.815566361,823,509265,TRC-674,44TH AVE SW AND SW HINDS ST                                                                                                                                                                                                                                    ,GOOD,2009/05/18 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1993/06/30 00:00:00+00, ,31941,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.38806082281,47.5738341258286
1263301.70724241,247937.432049945,824,509876,TRC-756,6TH AVE NW AND NW 56TH ST                                                                                                                                                                                                                                      ,GOOD,2009/09/15 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,2000/09/29 00:00:00+00, ,25291,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.36401641745,47.6694284181883
1262668.23312977,257008.936571226,825,509779,TRC-900,DIBBLE AVE NW AND NW 90TH ST                                                                                                                                                                                                                                   ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1989/05/02 00:00:00+00, ,37255,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.367320817195,47.694258288604
1275572.72767098,249422.430387467,826,509822,TRC-844,BROOKLYN AVE NE AND NE 63RD ST                                                                                                                                                                                                                                 ,GOOD,2009/06/23 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1980/09/10 00:00:00+00, ,25712,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.314337694437,47.6741569611786
1261159.14359222,235324.746021032,827,509579,TRC-120,11TH AVE W AND W BLAINE ST                                                                                                                                                                                                                                     ,GOOD,2009/09/12 00:00:00+00,INSVC,SDOT,DISTRICT7, ,16,2009/10/14 00:00:00+00,1997/07/24 00:00:00+00, ,27960,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.371687395275,47.6347406685218
